"filename", "language", "JavaScript", "JSON", "TypeScript JSX", "Properties", "Gradle", "XML", "Java", "Objective-C", "Python", "Objective-C++", "C++", "Batch", "comment", "blank", "total"
"c:\Development\BA\reactnative_performance\.eslintrc.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Development\BA\reactnative_performance\.prettierrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Development\BA\reactnative_performance\.watchmanconfig", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Development\BA\reactnative_performance\App.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 33
"c:\Development\BA\reactnative_performance\__tests__\App-test.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"c:\Development\BA\reactnative_performance\__tests__\test_list_page.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 4, 26, 106
"c:\Development\BA\reactnative_performance\__tests__\utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 2, 15, 70
"c:\Development\BA\reactnative_performance\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 75, 21, 171
"c:\Development\BA\reactnative_performance\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Development\BA\reactnative_performance\android\app\src\debug\java\com\reactnative_performance\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 12, 6, 76
"c:\Development\BA\reactnative_performance\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Development\BA\reactnative_performance\android\app\src\main\java\com\reactnative_performance\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 11, 5, 36
"c:\Development\BA\reactnative_performance\android\app\src\main\java\com\reactnative_performance\MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 3, 10, 63
"c:\Development\BA\reactnative_performance\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 23, 3, 37
"c:\Development\BA\reactnative_performance\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Development\BA\reactnative_performance\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Development\BA\reactnative_performance\android\app\src\release\java\com\reactnative_performance\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 3, 21
"c:\Development\BA\reactnative_performance\android\build.gradle", "Gradle", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Development\BA\reactnative_performance\android\gradle.properties", "Properties", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 28, 10, 45
"c:\Development\BA\reactnative_performance\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Development\BA\reactnative_performance\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 22, 90
"c:\Development\BA\reactnative_performance\android\settings.gradle", "Gradle", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Development\BA\reactnative_performance\app.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Development\BA\reactnative_performance\assets\images\images.js", "JavaScript", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 203
"c:\Development\BA\reactnative_performance\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Development\BA\reactnative_performance\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"c:\Development\BA\reactnative_performance\ios\reactnative_performanceTests\reactnative_performanceTests.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 14, 67
"c:\Development\BA\reactnative_performance\ios\reactnative_performance\AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"c:\Development\BA\reactnative_performance\ios\reactnative_performance\AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 8, 37
"c:\Development\BA\reactnative_performance\ios\reactnative_performance\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Development\BA\reactnative_performance\ios\reactnative_performance\Images.xcassets\Contents.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Development\BA\reactnative_performance\ios\reactnative_performance\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 1, 48
"c:\Development\BA\reactnative_performance\ios\reactnative_performance\main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Development\BA\reactnative_performance\metro.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"c:\Development\BA\reactnative_performance\package-lock.json", "JSON", 0, 30229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30230
"c:\Development\BA\reactnative_performance\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 42
"c:\Development\BA\reactnative_performance\screens\AnimationScreen.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 57
"c:\Development\BA\reactnative_performance\screens\HomeScreen.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Development\BA\reactnative_performance\screens\ImageScreen.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Development\BA\reactnative_performance\screens\ListScreen.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 30
"c:\Development\BA\reactnative_performance\screens\NetworkScreen.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 59
"c:\Development\BA\reactnative_performance\util\workload.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 91
"Total", "-", 455, 30305, 34, 12, 96, 99, 135, 61, 129, 22, 4, 68, 233, 244, 31897